"Date","Price","Open","High","Low","Vol.","Change %"
"Feb 23, 2020","85.329","79.024","85.541","78.818","271.00K","7.97%"
"Feb 22, 2020","79.027","80.308","82.896","78.169","277.07K","-1.60%"
"Feb 21, 2020","80.313","76.355","82.285","75.886","290.15K","5.18%"
"Feb 20, 2020","76.355","77.843","78.903","75.102","384.42K","-1.91%"
"Feb 19, 2020","77.843","86.158","86.914","76.718","304.86K","-9.65%"
"Feb 18, 2020","86.157","82.500","87.269","81.337","303.14K","4.45%"
"Feb 17, 2020","82.489","88.077","89.074","79.641","376.85K","-6.34%"
"Feb 16, 2020","88.077","89.087","91.958","79.723","359.78K","-1.14%"
"Feb 15, 2020","89.088","94.922","96.916","87.118","344.22K","-6.15%"
"Feb 14, 2020","94.922","92.723","95.195","91.020","333.49K","2.37%"
"Feb 13, 2020","92.724","95.635","96.525","90.317","270.57K","-3.04%"
"Feb 12, 2020","95.635","90.214","95.636","90.183","250.13K","5.99%"
"Feb 11, 2020","90.234","84.754","90.381","82.692","200.87K","6.46%"
"Feb 10, 2020","84.757","87.699","87.834","83.654","277.26K","-3.36%"
"Feb 09, 2020","87.699","80.642","87.814","80.574","216.02K","8.75%"
"Feb 08, 2020","80.642","79.554","81.655","77.025","178.17K","1.37%"
"Feb 07, 2020","79.554","78.225","80.757","78.192","157.39K","1.70%"
"Feb 06, 2020","78.225","77.804","79.905","76.473","136.51K","0.54%"
"Feb 05, 2020","77.804","75.219","79.171","74.564","119.46K","3.43%"
"Feb 04, 2020","75.227","76.851","77.193","75.227","108.71K","-2.12%"
"Feb 03, 2020","76.860","74.906","77.962","74.421","109.42K","2.62%"
"Feb 02, 2020","74.896","73.218","77.779","71.320","99.40K","2.29%"
"Feb 01, 2020","73.218","72.101","73.855","71.460","106.12K","1.57%"
"Jan 31, 2020","72.086","74.858","75.894","69.530","170.32K","-3.70%"
"Jan 30, 2020","74.857","69.944","74.891","68.487","136.29K","7.06%"
"Jan 29, 2020","69.920","67.714","70.732","67.533","82.28K","3.26%"
"Jan 28, 2020","67.712","65.556","67.807","65.268","64.26K","3.29%"
"Jan 27, 2020","65.558","63.880","66.271","63.610","71.17K","2.63%"
"Jan 26, 2020","63.878","61.503","64.497","61.010","49.34K","3.88%"
"Jan 25, 2020","61.494","61.534","62.520","59.987","60.02K","-0.08%"
"Jan 24, 2020","61.546","62.611","62.767","58.182","103.22K","-1.69%"
"Jan 23, 2020","62.602","65.044","65.136","61.245","68.26K","-3.75%"
"Jan 22, 2020","65.038","65.996","66.479","64.384","69.50K","-1.44%"
"Jan 21, 2020","65.986","64.985","66.795","64.355","63.77K","1.54%"
"Jan 20, 2020","64.987","65.233","66.546","62.318","84.17K","-0.36%"
"Jan 19, 2020","65.222","67.112","69.040","62.857","105.51K","-2.82%"
"Jan 18, 2020","67.112","68.947","70.868","66.231","93.80K","-2.66%"
"Jan 17, 2020","68.947","65.751","71.851","64.164","165.15K","4.86%"
"Jan 16, 2020","65.751","68.390","68.842","62.650","145.29K","-3.87%"
"Jan 15, 2020","68.397","62.665","69.161","61.908","254.89K","9.15%"
"Jan 14, 2020","62.665","57.882","62.917","57.773","210.89K","8.24%"
"Jan 13, 2020","57.892","59.210","59.222","56.839","102.56K","-2.23%"
"Jan 12, 2020","59.212","58.317","59.957","57.443","98.80K","1.53%"
"Jan 11, 2020","58.317","58.419","64.070","58.026","152.82K","-0.19%"
"Jan 10, 2020","58.427","58.845","59.596","56.885","116.86K","-0.70%"
"Jan 09, 2020","58.840","59.307","59.440","56.852","122.66K","-0.81%"
"Jan 08, 2020","59.321","58.539","60.006","55.595","126.34K","1.31%"
"Jan 07, 2020","58.555","58.990","60.065","55.470","163.80K","-0.72%"
"Jan 06, 2020","58.982","53.678","59.133","53.648","174.44K","9.88%"
"Jan 05, 2020","53.678","50.445","54.282","50.380","135.01K","6.39%"
"Jan 04, 2020","50.452","50.829","51.465","49.774","318.31K","-0.73%"
"Jan 03, 2020","50.822","45.489","51.745","45.402","833.38K","11.73%"
"Jan 02, 2020","45.488","45.768","46.269","44.301","641.46K","-0.61%"
"Jan 01, 2020","45.768","44.555","45.980","44.493","701.64K","2.72%"
"Dec 31, 2019","44.555","46.236","46.259","44.506","448.60K","-3.64%"
"Dec 30, 2019","46.236","46.620","46.720","45.791","418.42K","-0.82%"
"Dec 29, 2019","46.620","45.550","47.078","45.232","572.64K","2.29%"
"Dec 28, 2019","45.579","45.007","45.839","44.926","554.73K","1.27%"
"Dec 27, 2019","45.007","45.379","46.079","44.528","547.23K","-0.84%"
"Dec 26, 2019","45.389","46.109","46.434","44.880","487.53K","-1.62%"
"Dec 25, 2019","46.136","45.838","46.790","45.092","484.05K","0.65%"
"Dec 24, 2019","45.838","47.092","47.934","45.649","676.81K","-2.66%"
"Dec 23, 2019","47.092","47.159","48.637","46.952","742.88K","-0.14%"
"Dec 22, 2019","47.159","45.122","47.963","44.978","753.16K","4.56%"
"Dec 21, 2019","45.103","46.840","46.841","44.881","760.60K","-3.71%"
"Dec 20, 2019","46.840","47.499","47.630","46.475","679.47K","-1.41%"
"Dec 19, 2019","47.508","47.658","49.771","46.159","757.64K","-0.32%"
"Dec 18, 2019","47.658","45.033","49.031","43.832","630.08K","5.83%"
"Dec 17, 2019","45.034","49.139","49.409","44.629","764.63K","-8.39%"
"Dec 16, 2019","49.158","50.624","51.084","48.478","634.37K","-2.89%"
"Dec 15, 2019","50.624","51.252","52.044","50.574","680.05K","-1.23%"
"Dec 14, 2019","51.253","52.405","52.641","50.880","521.29K","-2.20%"
"Dec 13, 2019","52.406","52.838","53.309","52.257","415.05K","-0.82%"
"Dec 12, 2019","52.838","52.840","53.770","52.061","471.00K","0.01%"
"Dec 11, 2019","52.831","52.712","53.539","52.503","700.91K","0.24%"
"Dec 10, 2019","52.702","54.414","54.686","52.193","697.36K","-3.15%"
"Dec 09, 2019","54.414","53.643","54.431","52.981","482.86K","1.44%"
"Dec 08, 2019","53.643","54.291","54.734","53.464","509.76K","-1.19%"
"Dec 07, 2019","54.291","54.029","54.984","53.350","527.32K","0.48%"
"Dec 06, 2019","54.029","53.717","55.640","53.483","480.02K","0.58%"
"Dec 05, 2019","53.717","52.598","54.233","51.977","491.47K","2.13%"
"Dec 04, 2019","52.599","53.298","56.226","51.755","610.11K","-1.31%"
"Dec 03, 2019","53.298","53.954","55.454","53.213","633.47K","-1.20%"
"Dec 02, 2019","53.945","53.649","54.485","52.480","451.06K","0.58%"
"Dec 01, 2019","53.632","54.922","54.930","52.573","23.66K","-2.35%"
"Nov 30, 2019","54.922","55.840","56.054","53.817","28.91K","-1.64%"
"Nov 29, 2019","55.840","53.982","56.119","53.835","536.83K","3.46%"
"Nov 28, 2019","53.973","55.793","56.464","53.598","657.30K","-3.27%"
"Nov 27, 2019","55.794","51.234","57.071","49.950","697.09K","8.94%"
"Nov 26, 2019","51.216","49.984","52.098","49.478","730.77K","2.47%"
